# claims-machine.txt — atomic claims decomposed from the Quocirca Print Security Landscape 2026
# (RICOH excerpt, July 2026). Report → argument-tree corpus; the argument side is argument.txt.
#
# This is the CLAIM side of the assay. The only held SOURCE is report.pdf itself (sources/MANIFEST.md),
# so the only automated check this corpus enables is INTERNAL CONSISTENCY: does the report actually
# state the claim at its `ref` page, and do figures restated across pages agree. It does NOT ground
# the survey figures — their truth-maker is the study microdata, which is not held, so every
# `route=survey` claim grounds to `unverifiable` by design (sources/MANIFEST.md "Not held").
#
# Line format (pipe-delimited, 5 fields):
#   <id> | route=<r> | ref=§<section heading> p<printed-page> | <claim> | src=<locator + note>
#
# route= (what could settle the claim; see CLAUDE.md axis boundary):
#   survey     — a statistic FROM the 2026 study. Truth-maker = survey microdata (NOT HELD →
#                grounding unverifiable). report.pdf settles only internal consistency (is the number
#                printed here; do restatements agree). This is the corpus's dominant class.
#   evidence   — a non-survey factual world-claim (an acquisition, a product/standard capability, a
#                firm-history fact, a figure-reading). Truth-maker external, mostly a not-held vendor
#                briefing or prior edition; report.pdf settles internal consistency only.
#   evaluative — Quocirca opinion / value judgement ("under-prioritised", "stands out", "foundational").
#                Not truth-apt; checkable only as "did the report say it", never grounded. Not judged.
#   data-gap   — a claim about the report's own numeric limits (the rounding caveat).
#
# src= names the held locator (report.pdf + printed page) and, where the real truth-maker is not held,
# names it so a grounding run's `unverifiable` is legible. `restates <id>` marks a deliberate
# cross-page duplicate: the pair is an internal-consistency check, not an accident — the figures must
# agree. § headings are the report's own (unnumbered) bold headings; printed page = footer number.

# ══ §Executive summary — p2–3 ══
E1   | route=survey     | ref=§Executive summary p2                              | Two-thirds (67%) of organisations in the UK, France, Germany, and the US have experienced print-related data losses in the past year. | src=report.pdf p2; truth-maker: 2026 survey microdata (not held)
E2   | route=survey     | ref=§Executive summary p2                              | 80% of organisations remain heavily reliant on printing to support their business operations. | src=report.pdf p2; truth-maker: survey microdata (not held)
E3   | route=evaluative | ref=§Executive summary p2                              | The only sustainable response is to increase resilience through a layered, continuously managed print security strategy that protects devices, users, documents, and workflows as part of the wider enterprise security environment. | src=report.pdf p2
E4   | route=evaluative | ref=§Executive summary p2                              | The research uncovers a widening 'security divide' between organisations that have prioritised print security modernisation and those that lag behind. | src=report.pdf p2
E5   | route=evidence   | ref=§Executive summary p2                              | Organisations classified as security leaders in Quocirca's Print Security Maturity Index have implemented at least six areas from a list of security solutions. | src=report.pdf p2; truth-maker: Maturity Index definition + area list (not held)
E6   | route=survey     | ref=§Executive summary p2                              | Security leaders experience fewer data losses than laggards (56%, compared with 73%). | src=report.pdf p2; truth-maker: survey microdata (not held); leaders/laggards per E5
E7   | route=survey     | ref=§Executive summary p2                              | Print security leaders are more likely to report they are very satisfied with print security capabilities from their supplier (48%) than laggards (23%). | src=report.pdf p2; truth-maker: survey microdata (not held)
E8   | route=survey     | ref=§Print remains a growing security vulnerability p2 | The proportion experiencing at least one data loss due to a print-related security breach has increased from 56% in 2025 to 67% today. | src=report.pdf p2; restates E1 (67%); 2025 baseline in prior edition (not held)
E9   | route=survey     | ref=§Print remains a growing security vulnerability p2 | 43% report multiple data losses, compared to 34% a year ago. | src=report.pdf p2; truth-maker: survey microdata (not held)
E10  | route=survey     | ref=§Print remains a growing security vulnerability p2 | 6% are suffering 'many' data losses. | src=report.pdf p2; truth-maker: survey microdata (not held)
E11  | route=survey     | ref=§Print remains a growing security vulnerability p2 | On average, each print-related breach costs £1 million. | src=report.pdf p2; truth-maker: survey microdata (not held)
E12  | route=evaluative | ref=§Print remains a growing security vulnerability p2 | There is no easy 'silver bullet' solution to the print security threat. | src=report.pdf p2
